umap2_x,umap2_y,umap3_x,umap3_y,umap3_z,cluster,title,url
1.4853879,6.639307,-1.2759577,9.316289,2.8574677,7,Cao tốc Cần Thơ - Cà Mau dài 110km sẽ có 2 trạm dừng nghỉ,https://dantri.com.vn/xa-hoi/cao-toc-can-tho-ca-mau-dai-110km-se-co-2-tram-dung-nghi-20250821192808420.htm
-1.6471013,8.690075,-1.1799642,8.783516,-0.9372748,2,"Hàng trăm cây thông lâu năm cạnh cao tốc chết khô, nghi do bị đầu độc",https://dantri.com.vn/xa-hoi/hang-tram-cay-thong-lau-nam-canh-cao-toc-chet-kho-nghi-do-bi-dau-doc-20250821191036338.htm
2.3404102,5.9204087,-1.5892957,9.865554,3.8356853,7,"Bộ Chính trị cho ý kiến về phương án nhân sự của Hà Nội, TPHCM",https://dantri.com.vn/xa-hoi/bo-chinh-tri-cho-y-kien-ve-phuong-an-nhan-su-cua-ha-noi-tphcm-20250821182414702.htm
2.335622,5.9521785,-1.5564175,9.881849,3.8508139,7,Đảng bộ cơ quan Đảng tỉnh Tây Ninh thống nhất 5 chỉ tiêu nhiệm kỳ mới,https://dantri.com.vn/xa-hoi/dang-bo-co-quan-dang-tinh-tay-ninh-thong-nhat-5-chi-tieu-nhiem-ky-moi-20250821193600234.htm
-2.025709,8.640858,-1.5347844,8.617548,-1.3424749,2,"Bắt giữ hai ""quái xế"" lao vào đường cấm, tông gục chiến sĩ cảnh sát cơ động",https://dantri.com.vn/xa-hoi/bat-giu-hai-quai-xe-lao-vao-duong-cam-tong-guc-chien-si-canh-sat-co-dong-20250821223756636.htm
-2.261287,9.368601,-1.1876527,9.057694,-1.7407346,2,"Nghi vợ ngoại tình, người chồng phóng hỏa khiến cả nhà bỏng nặng ở Tây Ninh",https://dantri.com.vn/xa-hoi/nghi-vo-ngoai-tinh-nguoi-chong-phong-hoa-khien-ca-nha-bong-nang-o-tay-ninh-20250821184915594.htm
2.427055,7.0700984,-1.1543841,10.298288,2.718551,7,TPHCM bắn pháo hoa 4 điểm mừng lễ 2/9,https://dantri.com.vn/xa-hoi/tphcm-ban-phao-hoa-4-diem-mung-le-29-20250821173731221.htm
2.2808747,6.022301,-1.6538844,9.918833,3.7559605,7,TPHCM đặt mục tiêu 100% thủ tục hành chính phi địa giới vào tháng 10,https://dantri.com.vn/xa-hoi/tphcm-dat-muc-tieu-100-thu-tuc-hanh-chinh-phi-dia-gioi-vao-thang-10-20250821171145834.htm
-0.9160048,8.19342,-0.9814656,8.254687,-0.1810574,8,"Mưa lớn gây ngập lụt, sạt lở đất nhiều nơi ở Bắc Ninh, Thái Nguyên",https://dantri.com.vn/xa-hoi/mua-lon-gay-ngap-lut-sat-lo-dat-nhieu-noi-o-bac-ninh-thai-nguyen-20250821172927248.htm
-1.8953251,8.511995,-1.4954258,8.56645,-1.1878855,2,Hai người đi bộ bất ngờ lao ra giữa làn đường cao tốc trong đêm tối,https://dantri.com.vn/xa-hoi/hai-nguoi-di-bo-bat-ngo-lao-ra-giua-lan-duong-cao-toc-trong-dem-toi-20250821170916096.htm
2.6625316,6.8399343,-1.2015679,10.4501,3.056244,7,"Bảo đảm kỹ thuật tốt nhất cho khối xe, pháo quân sự tham gia diễu binh",https://dantri.com.vn/xa-hoi/bao-dam-ky-thuat-tot-nhat-cho-khoi-xe-phao-quan-su-tham-gia-dieu-binh-20250821165809834.htm
-0.844011,7.750527,-0.94102967,7.8074875,0.005994532,8,"Bão có thể sắp xuất hiện trên Biển Đông, miền Bắc mưa to",https://dantri.com.vn/xa-hoi/bao-co-the-sap-xuat-hien-tren-bien-dong-mien-bac-mua-to-20250821164432023.htm
2.1993446,6.974808,-1.2521484,10.093742,2.7324626,7,CSGT Hà Nội huy động lực lượng bảo đảm giao thông cho hợp luyện diễu binh,https://dantri.com.vn/xa-hoi/csgt-ha-noi-huy-dong-luc-luong-bao-dam-giao-thong-cho-hop-luyen-dieu-binh-20250821162905796.htm
-0.85736966,7.7426853,-0.95970535,7.7894034,-0.019506156,8,"Ba Đình và nhiều khu vực trung tâm Hà Nội khả năng có mưa rào, dông",https://dantri.com.vn/xa-hoi/ba-dinh-va-nhieu-khu-vuc-trung-tam-ha-noi-kha-nang-co-mua-rao-dong-20250821160825064.htm
1.0453225,2.1488044,-0.8032701,5.111937,1.8461571,8,Biên đội máy bay tập luyện diễu binh vào Quảng trường Ba Đình,https://dantri.com.vn/xa-hoi/bien-doi-may-bay-tap-luyen-dieu-binh-vao-quang-truong-ba-dinh-20250820205156650.htm
2.5093958,7.1571403,-1.0747331,10.373286,2.6702104,7,"Gợi ý một số vị trí đẹp quan sát đoàn diễu binh, diễu hành",https://dantri.com.vn/xa-hoi/goi-y-mot-so-vi-tri-dep-quan-sat-doan-dieu-binh-dieu-hanh-20250820161528214.htm
1.8367763,6.960941,-1.2775577,9.779759,2.6143737,7,Chi tiết cách di chuyển thuận lợi khi Hà Nội cấm nhiều tuyến đường dịp 2/9,https://dantri.com.vn/xa-hoi/chi-tiet-cach-di-chuyen-thuan-loi-khi-ha-noi-cam-nhieu-tuyen-duong-dip-29-20250820151721558.htm
-0.8496643,8.736912,-0.98185676,8.98221,-0.31980467,8,"Giải mã những ""ẩn số"" quanh vụ du khách tử vong trong rừng Cúc Phương",https://dantri.com.vn/xa-hoi/giai-ma-nhung-an-so-quanh-vu-du-khach-tu-vong-trong-rung-cuc-phuong-20250820085038485.htm
2.406367,6.5964108,-1.2472415,10.07613,3.140728,7,"Toàn cảnh lễ khánh thành, khởi công 250 công trình, dự án trên cả nước",https://dantri.com.vn/xa-hoi/toan-canh-le-khanh-thanh-khoi-cong-250-cong-trinh-du-an-tren-ca-nuoc-20250819062458719.htm
0.7040742,11.027039,1.890739,9.524973,0.4428567,6,Bộ trưởng Y tế: “50% thuốc bán qua mạng có thể là giả”,https://dantri.com.vn/xa-hoi/bo-truong-y-te-50-thuoc-ban-qua-mang-co-the-la-gia-20250821141624171.htm
2.3342862,5.9564548,-1.525181,9.846318,3.8515618,7,"Xã ở Cà Mau tổ chức đại hội Đảng “không giấy”, thư ký ghi biên bản bằng AI",https://dantri.com.vn/xa-hoi/xa-o-ca-mau-to-chuc-dai-hoi-dang-khong-giay-thu-ky-ghi-bien-ban-bang-ai-20250821083508570.htm
0.48870715,10.557258,1.3514016,9.502687,0.51527226,2,"Cầm hộp sữa “nghi là giả”, đại biểu Quốc hội chất vấn trách nhiệm của ai?",https://dantri.com.vn/xa-hoi/cam-hop-sua-nghi-la-gia-dai-bieu-quoc-hoi-chat-van-trach-nhiem-cua-ai-20250821104158716.htm
0.510413,10.723395,1.5624489,9.536721,0.47443065,7,Thứ trưởng Bộ Y tế: “Không có thuốc giả ở các cơ sở khám chữa bệnh”,https://dantri.com.vn/xa-hoi/thu-truong-bo-y-te-khong-co-thuoc-gia-o-cac-co-so-kham-chua-benh-20250821085822491.htm
2.2765539,5.9840713,-1.4975693,9.750817,3.82664,7,"Bộ Chính trị cho ý kiến về Đề án nhân sự của Thanh Hóa, Bắc Ninh",https://dantri.com.vn/xa-hoi/bo-chinh-tri-cho-y-kien-ve-de-an-nhan-su-cua-thanh-hoa-bac-ninh-20250820203239140.htm
2.6025317,6.6731906,-1.2797207,10.366849,3.1405885,7,Thường trực Ban Bí thư kiểm tra việc chuẩn bị Lễ kỷ niệm 80 năm Quốc khánh,https://dantri.com.vn/xa-hoi/thuong-truc-ban-bi-thu-kiem-tra-viec-chuan-bi-le-ky-niem-80-nam-quoc-khanh-20250820201258338.htm
2.7280934,6.828411,-1.2040908,10.49373,3.047099,7,Lãnh đạo Đồng Tháp dâng hương tưởng nhớ ngày Anh hùng Trương Định tuẫn tiết,https://dantri.com.vn/xa-hoi/lanh-dao-dong-thap-dang-huong-tuong-nho-ngay-anh-hung-truong-dinh-tuan-tiet-20250820154855646.htm
3.5186307,7.52117,-0.46519774,11.37723,2.7688081,7,Tôn vinh Chủ tịch Hồ Chí Minh trên sân khấu,https://dantri.com.vn/xa-hoi/ton-vinh-chu-tich-ho-chi-minh-tren-san-khau-20250821081508759.htm
2.8426604,6.8896747,-1.2208588,10.5865965,3.0765698,7,Khu Di tích Phủ Chủ tịch tiếp nhận hiện vật do người cận vệ của Bác Hồ trao tặng,https://dantri.com.vn/xa-hoi/khu-di-tich-phu-chu-tich-tiep-nhan-hien-vat-do-nguoi-can-ve-cua-bac-ho-trao-tang-20250819202726339.htm
